created_at,entities,lang,text,context_annotations.hashtags,context_annotations.user_mentions,public_metrics.likes,keyword
2023-07-14T12:43:33.000Z,[],en,chainsaw frontline pt 2 https://t.co/KfJlmhKrF7,[],[],696,England
2023-07-15T19:35:43.000Z,[],en,"When you look at the chain of funding of lobbyists, think tanks and the smear campaigns that were waged on Jeremy Corbyn... you realise clearly that they knew he’d end profiteering and the gravy train

We’re talking £10s Billions he’d have saved the NHS

 https://t.co/SptcL56GlQ",[],[],1105,England
2023-07-12T01:22:14.000Z,[],en,"Dr. Ben Mauck was not just a “healthcare worker.” He was my friend, one of the most skilled hand surgeons we had here in #Memphis. #EndGunViolence #orthopedics https://t.co/hguQX4vLAH","['Memphis', 'EndGunViolence', 'orthopedics']",[],9158,England
2023-07-15T10:31:37.000Z,[],en,"It’s clear to me that many (including many HCPs) just don’t understand the role and responsibilities of a doctor. 

It should be mandatory for every healthcare worker to shadow an FY1 on a weekend ward cover/night shift.

I think they might sing a different tune afterwards",[],[],901,England
2023-07-16T07:59:52.000Z,[],en,"Sunday morning gold

#Ridge just stumped Kemi Badenoch 🔥

‘The deals worth £1.8bn after 10 years, The Man City bench is worth £5bn when you put it in context, is it gonna make that much difference?’

Kemi stumbles hard 🤣

#Ridge #BBCLauraK #BrexitBrokeBritain https://t.co/cLd1Tk24lu","['Ridge', 'Ridge', 'BBCLauraK', 'BrexitBrokeBritain']",[],3691,England
2023-07-15T18:32:30.000Z,[],en,On the outside I might look calm but deep inside I’m just waiting for India to defeat England in World Cup and BCCI to respond to this post. https://t.co/FIkljcGlH4,[],[],7497,England
2023-07-16T09:15:35.000Z,[],en,Best team in England? https://t.co/zHvgD21sv7,[],[],1420,England
2023-07-16T05:38:11.000Z,[],de,"DAYBREAK FRONTLINE / Orangestar
https://t.co/zw66Y50LvS",[],[],584,England
2023-07-13T13:11:47.000Z,[],en,Hi! There’s no such thing as crossing a picket line when it comes to healthcare worker strikes! Strike nurses are the only reason we nurses can strike without patient harm and the point is that hospitals have to pay for strike nurses and strike nurses cost them a lot more money,[],[],39,England
2023-07-13T18:47:57.000Z,[],en,"🚨MUST WATCH FOOTAGE🚨 

Abandoned Ukrainian soldier found by Russian forces tells his story. 

He was mobilized and forced to go to war. This is the state of the Ukrainian Army. They have run out of troops and are sacrificing civilians to the frontline.

THIS WAR MUST END NOW! https://t.co/gtpFcyVNAl",[],[],80021,England
